Model;Promo_Price;Price;URL
['SAMSUNG', 'UE40T5300AUXUA'];13999;                                        13 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue40t5300auxua.html
['LG', 'OLED65A16LA'];59999;85 999-26 000                                        59 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_oled65a16la.html
['SAMSUNG', 'QE55QN90AAUXUA'];59999;66 999-7 000                                        59 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe55qn90aauxua.html
['PHILIPS', '32PFS6906/12'];13999;                                        13 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_philips_32pfs690612.html
['LG', '65UP75006LF'];30999;38 749-7 750                                        30 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_65up75006lf.html
['MYSTERY', 'MTV-4055HST2'];7999;9 999-2 000                                        7 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_mystery_mtv_4055hst2.html
['SONY', 'KD65X85TJCEP'];54299;67 879-13 580                                        54 299 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_kd65x85tjcep.html
['SAMSUNG', 'UE50BU8510UXUA'];25699;                                        25 699 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue50bu8510uxua.html
['ERGO', '55WUS9100'];18699;20 499-1 800                                        18 699 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ergo_55wus9100.html
['SONY', 'XR55X90JR'];48499;60 629-12 130                                        48 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_xr55x90jr.html
['LG', '32LQ630B6LA'];11399;                                        11 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_lg_32lq630b6la.html
['BLAUPUNKT', '32HB5000'];7585;                                        7 585 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_blaupunkt_32hb5000.html
['SAMSUNG', 'QE55Q70BAUXUA'];42999;                                        42 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe55q70bauxua.html
['SONY', 'KD65X81JR'];42899;53 629-10 730                                        42 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_kd65x81jr.html
['LG', 'OLED48A16LA'];34999;50 499-15 500                                        34 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_oled48a16la.html
['LG', '55NANO866PA'];31499;49 999-18 500                                        31 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_55nano866pa.html
['HISENSE', '43A7GQ'];17999;22 499-4 500                                        17 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_43a7gq.html
['LG', '43UQ75006LF'];17899;                                        17 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_lg_43uq75006lf.html
['TCL', '43C725'];17399;21 749-4 350                                        17 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_tcl_43c725.html
['SETUP', '32HTF20'];4699;5 799-1 100                                        4 699 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_setup_32htf20.html
['KIVI', '32H740LW'];9399;9 999-600                                        9 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_32h740lw.html
['MYSTERY', 'MTV-2450HT2'];3999;4 999-1 000                                        3 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_mystery_mtv-2450ht2.html
